category,finding_id,field,old_value,new_value,reason
note-update,UKAISI-2025-12a-ALI1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=Meta; Mistral; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): AISI research page; Google Scholar; no company statements found. | Social Highlights: LessWrong/AlignmentForum cross-post by David Africa presenting the wireheading/grade-inflation paper (https://www.lesswrong.com/posts/k7wfo2fk4bipK7mfH/paper-does-self-evaluation-enable-wireheading-in-language)

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=Meta; Mistral; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): AISI research page; Google Scholar; no company statements found. | Social Highlights: LessWrong/AlignmentForum cross-post by David Africa presenting the wireheading/grade-inflation paper (https://www.lesswrong.com/posts/k7wfo2fk4bipK7mfH/paper-does-self-evaluation-enable-wireheading-in-language)

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,USCAISI-2025-11-GOV3,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,USCAISI-2025-11-GOV3,Policy Response,,Referenced in NIST AI 800-2 discussions (Practices for detecting and preventing evaluation cheating).,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,USCAISI-2025-11-GOV3,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Policy Level: Non-binding policy uptake | Policy Response: Referenced in NIST AI 800-2 discussions (Practices for detecting and preventing evaluation cheating). | Channel C Verbatim: Blocking Hugging Face access decreased performance ~15% -- implying models had been trained or fine-tuned on evaluation data. -- CAISI Cheating on AI Agent Evaluations

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Policy Level: Non-binding policy uptake | Policy Response: Referenced in NIST AI 800-2 discussions (Practices for detecting and preventing evaluation cheating). | Channel C Verbatim: Blocking Hugging Face access decreased performance ~15% -- implying models had been trained or fine-tuned on evaluation data. -- CAISI Cheating on AI Agent Evaluations

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-10b-ALI1,Company Response,,"Anthropic co-authored and published the finding on its own research blog ('A small number of samples can poison LLMs of any size'), framing poisoning as more feasible than previously believed while noting the tested backdoor is narrow and low-risk for frontier models.",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-10b-ALI1,Channel A Verbatim,,as few as 250 malicious documents can produce a 'backdoor' vulnerability in a large language model—regardless of model size or training data volume.,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-10b-ALI1,Response Date,,2025-10-09,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-10b-ALI1,Lag (days),,1,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-10b-ALI1,Channel A Evidence,,https://www.anthropic.com/research/small-samples-poison,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-10b-ALI1,Sources Checked (channel A),,https://www.aisi.gov.uk/research/poisoning-attacks-on-llms-require-a-near-constant-number-of-poison-samples,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-10b-ALI1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=No; frontier-relevant=No; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=result is reassuring, null, or not materially concerning; non-frontier/out of scope for frontier accountability. Rationale: Empirical result retained, but not accountability-eligible: result is reassuring, null, or not materially concerning; non-frontier/out of scope for frontier accountability. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Company Response: Anthropic co-authored and published the finding on its own research blog ('A small number of samples can poison LLMs of any size'), framing poisoning as more feasible than previously believed while noting the tested backdoor is narrow and low-risk for frontier models. | Channel A Verbatim: as few as 250 malicious documents can produce a 'backdoor' vulnerability in a large language model—regardless of model size or training data volume. | Response Date: 45939 | Lag (days): 1 | Channel A Evidence: https://www.anthropic.com/research/small-samples-poison | Sources Checked (channel A): https://www.aisi.gov.uk/research/poisoning-attacks-on-llms-require-a-near-constant-number-of-poison-samples | Media Outlets: PC Gamer, Engadget, InfoQ, Dark Reading, Dell blog (https://www.infoq.com/news/2025/11/anthropic-poison-attack/)  [ID FIX 2026-08-16] Report ID 'UKAISI-2025-10-ALI1b' -> 'UKAISI-2025-10b': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).  [ID FIX 2026-08-16] Finding ID 'UKAISI-2025-10-ALI1b' -> 'UKAISI-2025-10b-ALI1': malformed against §6 (PREFIX-YYYY-MM[m]-DDDn). Finding IDs are immutable by rule, so the previous value is recorded here for traceability.

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=No; frontier-relevant=No; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=result is reassuring, null, or not materially concerning; non-frontier/out of scope for frontier accountability. Rationale: Empirical result retained, but not accountability-eligible: result is reassuring, null, or not materially concerning; non-frontier/out of scope for frontier accountability. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Company Response: Anthropic co-authored and published the finding on its own research blog ('A small number of samples can poison LLMs of any size'), framing poisoning as more feasible than previously believed while noting the tested backdoor is narrow and low-risk for frontier models. | Channel A Verbatim: as few as 250 malicious documents can produce a 'backdoor' vulnerability in a large language model—regardless of model size or training data volume. | Response Date: 45939 | Lag (days): 1 | Channel A Evidence: https://www.anthropic.com/research/small-samples-poison | Sources Checked (channel A): https://www.aisi.gov.uk/research/poisoning-attacks-on-llms-require-a-near-constant-number-of-poison-samples | Media Outlets: PC Gamer, Engadget, InfoQ, Dark Reading, Dell blog (https://www.infoq.com/news/2025/11/anthropic-poison-attack/)  [ID FIX 2026-08-16] Report ID 'UKAISI-2025-10-ALI1b' -> 'UKAISI-2025-10b': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).  [ID FIX 2026-08-16] Finding ID 'UKAISI-2025-10-ALI1b' -> 'UKAISI-2025-10b-ALI1': malformed against §6 (PREFIX-YYYY-MM[m]-DDDn). Finding IDs are immutable by rule, so the previous value is recorded here for traceability.

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
